Accel_x,Accel_y,Accel_z
-0.307,1.285,1.014
-0.257,1.264,1.012
-0.231,1.237,1.003
-0.182,1.218,0.99
-0.134,1.164,0.979
-0.085,1.1,0.953
-0.06,1.041,0.915
-0.007,1.013,0.873
0.049,0.949,0.848
0.078,0.878,0.793
0.142,0.841,0.741
0.208,0.772,0.718
0.223,0.736,0.668
0.22,0.672,0.647
0.193,0.622,0.609
0.17,0.576,0.583
0.114,0.561,0.569
0.042,0.539,0.575
0.005,0.517,0.582
-0.072,0.509,0.606
-0.137,0.488,0.626
-0.155,0.47,0.668
-0.187,0.46,0.708
-0.207,0.436,0.725
-0.211,0.406,0.769
-0.197,0.385,0.795
-0.168,0.352,0.801
-0.132,0.329,0.812
-0.111,0.318,0.816
-0.074,0.311,0.816
-0.043,0.325,0.82
-0.031,0.346,0.834
-0.013,0.361,0.84
-0.009,0.391,0.854
-0.006,0.405,0.871
-0.001,0.432,0.883
0.001,0.47,0.906
0.003,0.49,0.935
0.012,0.521,0.949
0.029,0.553,0.977
0.042,0.562,0.999
